2025-07-01 09:59:45 status half-installed libdb-dev:arm64 5.3.2
2025-07-01 09:59:45 status unpacked libdb-dev:arm64 5.3.2
2025-07-01 09:59:45 install libexpat1:arm64 <none> 2.5.0-1+deb12u1
2025-07-01 09:59:45 status half-installed libexpat1:arm64 2.5.0-1+deb12u1
2025-07-01 09:59:45 status unpacked libexpat1:arm64 2.5.0-1+deb12u1
2025-07-01 09:59:45 install libexpat1-dev:arm64 <none> 2.5.0-1+deb12u1
2025-07-01 09:59:45 status half-installed libexpat1-dev:arm64 2.5.0-1+deb12u1
2025-07-01 09:59:45 status unpacked libexpat1-dev:arm64 2.5.0-1+deb12u1
2025-07-01 09:59:45 install libffi-dev:arm64 <none> 3.4.4-1
2025-07-01 09:59:45 status half-installed libffi-dev:arm64 3.4.4-1
2025-07-01 09:59:45 status unpacked libffi-dev:arm64 3.4.4-1
2025-07-01 09:59:45 install libpng16-16:arm64 <none> 1.6.39-2
2025-07-01 09:59:45 status half-installed libpng16-16:arm64 1.6.39-2
2025-07-01 09:59:45 status unpacked libpng16-16:arm64 1.6.39-2
2025-07-01 09:59:45 install libfreetype6:arm64 <none> 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 status half-installed libfreetype6:arm64 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 status unpacked libfreetype6:arm64 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 install libfontconfig1:arm64 <none> 2.14.1-4
2025-07-01 09:59:45 status half-installed libfontconfig1:arm64 2.14.1-4
2025-07-01 09:59:45 status unpacked libfontconfig1:arm64 2.14.1-4
2025-07-01 09:59:45 install zlib1g-dev:arm64 <none> 1:1.2.13.dfsg-1
2025-07-01 09:59:45 status half-installed zlib1g-dev:arm64 1:1.2.13.dfsg-1
2025-07-01 09:59:45 status unpacked zlib1g-dev:arm64 1:1.2.13.dfsg-1
2025-07-01 09:59:45 install libpng-dev:arm64 <none> 1.6.39-2
2025-07-01 09:59:45 status half-installed libpng-dev:arm64 1.6.39-2
2025-07-01 09:59:45 status unpacked libpng-dev:arm64 1.6.39-2
2025-07-01 09:59:45 install libfreetype-dev:arm64 <none> 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 status half-installed libfreetype-dev:arm64 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 status unpacked libfreetype-dev:arm64 2.12.1+dfsg-5+deb12u4
2025-07-01 09:59:45 install uuid-dev:arm64 <none> 2.38.1-5+deb12u3
2025-07-01 09:59:45 status half-installed uuid-dev:arm64 2.38.1-5+deb12u3
2025-07-01 09:59:45 status unpacked uuid-dev:arm64 2.38.1-5+deb12u3
2025-07-01 09:59:45 install libpkgconf3:arm64 <none> 1.8.1-1
2025-07-01 09:59:45 status half-installed libpkgconf3:arm64 1.8.1-1
2025-07-01 09:59:45 status unpacked libpkgconf3:arm64 1.8.1-1
2025-07-01 09:59:45 install pkgconf-bin:arm64 <none> 1.8.1-1
2025-07-01 09:59:45 status half-installed pkgconf-bin:arm64 1.8.1-1
2025-07-01 09:59:45 status unpacked pkgconf-bin:arm64 1.8.1-1
2025-07-01 09:59:45 install pkgconf:arm64 <none> 1.8.1-1
2025-07-01 09:59:45 status half-installed pkgconf:arm64 1.8.1-1
2025-07-01 09:59:45 status unpacked pkgconf:arm64 1.8.1-1
